TXNRef,TXNQty
1160001,1
1160002,1
1160003,2
1160004,2
1160005,1
1160006,1
1160007,1
1160008,2
1160009,1
1160010,1
1160012,1
1160013,1
1160014,1
1160018,1
1160020,2
1160021,1
1160022,1
1160023,1
1160024,2
1160025,1
1160026,1
1160027,2
1160029,1
1160030,1
1160031,1
1160032,1
1160033,1
1160034,2
1160036,3
1160038,1
1160039,1
1160040,1
1160041,1
1160042,1
1160043,1
1160044,1
1160045,1
1160046,2
1160047,1
1160048,3
1160049,1
1160050,2
1160051,1
1160052,2
1160053,1
1160054,1
1160055,2
1160056,5
1160057,1
1160058,1
1160059,2
1160060,1
1160061,1
1160062,1
1160063,1
1160064,1
1160066,1
1160067,1
1160068,1
1160069,1
1160070,1
1160071,1
1160073,1
1160074,1
1160076,1
1160078,3
1160079,1
1160080,1
1160081,1
1160082,1
1160083,2
1160084,3
1160086,1
1160088,1
1160089,1
1160090,1
1160091,1
1160092,1
1160093,1
1160094,1
1160095,1
1160097,1
1160098,2
1160100,1
1160102,2
1160103,3
1160104,2
1160105,1
1160106,1
1160107,1
1160108,1
1160109,1
1160110,1
1160111,1
1160112,1
1160113,3
1160114,3
1160116,1
1160117,1
1160118,2
1160119,1
1160120,1
1160121,1
1160122,1
1160123,1
1160124,1
1160125,5
1160126,1
1160127,1
1160128,1
1160129,2
1160130,1
1160131,1
1160132,1
1160133,1
1160134,1
1160135,1
1160137,1
1160138,6
1160139,1
1160141,1
1160142,2
1160143,1
1160144,3
1160145,1
1160146,2
1160147,1
1160148,2
1160149,1
1160150,1
1160151,2
1160152,1
1160153,2
1160154,2
1160155,3
1160157,1
1160158,1
1160159,2
1160160,1
1160161,5
1160162,1
1160163,2
1160164,3
1160165,1
1160166,1
1160167,1
1160168,1
1160169,2
1160170,1
1160171,1
1160172,3
1160173,2
1160174,2
1160175,1
1160176,1
1160178,1
1160179,1
1160180,1
1160182,1
1160183,1
1160184,1
1160185,1
1160186,1
1160187,1
1160188,1
1160189,1
1160190,1
1160191,1
1160192,1
1160193,1
1160194,1
1160195,2
1160196,2
1160197,1
1160198,1
1160199,1
1160200,1
1160202,1
1160204,1
1160205,1
1160206,1
1160208,1
1160209,1
1160210,1
1160211,1
1160212,1
1160213,1
1160215,2
1160216,1
1160217,1
1160219,1
1160220,1
1160222,1
1160223,1
1160224,2
1160225,1
1160226,2
1160227,1
1160228,2
1160229,2
1160230,1
1160231,1
1160232,1
1160233,1
1160234,1
1160235,1
1160236,2
1160237,1
1160238,1
1160239,1
1160240,2
1160241,1
1160242,1
1160243,1
1160244,1
1160245,1
1160246,1
1160247,5
1160248,2
1160249,1
1160250,1
1160251,1
1160252,1
1160253,1
1160254,1
1160255,1
1160256,1
1160257,1
1160258,1
1160259,1
1160260,1
1160261,5
1160262,5
1160263,2
1160264,2
1160265,1
1160266,1
1160267,1
1160268,2
1160269,1
1160270,1
1160271,2
1160272,1
1160273,1
1160274,1
1160275,1
1160276,1
1160277,1
1160278,1
1160279,1
1160280,1
1160281,1
1160282,1
1160283,1
1160284,3
1160285,1
1160286,1
1160287,1
1160288,2
1160289,1
1160290,1
1160291,1
1160292,1
1160293,1
1160294,2
1160295,2
1160296,1
1160297,1
1160298,1
1160299,1
1160300,1
1160301,1
1160302,1
1160303,1
1160304,2
1160305,3
1160306,1
1160307,1
1160308,1
1160309,1
1160310,2
1160311,1
1160312,1
1160313,1
1160314,1
1160315,3
1160316,1
1160317,1
1160318,2
1160319,2
1160320,2
1160321,5
1160322,1
1160323,1
1160324,1
1160325,2
1160326,2
1160327,1
1160328,1
1160329,1
1160330,1
1160331,1
1160332,3
1160333,2
1160334,1
1160335,2
1160336,1
1160337,3
1160338,1
1160339,3
1160340,2
1160341,1
1160342,1
1160343,2
1160344,2
1160345,1
1160346,1
1160347,1
1160348,1
1160349,1
1160350,1
1160351,2
1160352,1
1160353,1
1160354,1
1160355,1
1160356,1
1160357,1
1160358,1
1160359,1
1160360,1
1160361,1
1160362,1
1160363,1
1160364,1
1160365,1
1160366,1
1160367,1
1160368,1
1160369,1
1160370,1
1160371,1
1160372,1
1160373,1
1160374,1
1160375,1
1160376,1
1160377,1
1160378,1
1160379,1
1160380,1
1160381,1
1160382,1
1160383,1
1160384,1
1160385,1
1160386,1
1160387,1
1160388,1
1160389,1
1160390,1
1160391,1
1160392,2
1160393,1
1160394,1
1160395,2
1160396,1
1160397,1
1160398,1
1160399,1
1160400,1
1160401,1
1160402,1
1160403,1
1160404,1
1160405,1
1160406,1
1160407,1
1160408,1
1160409,1
1160410,1
1160411,1
1160412,1
1160413,1
1160414,1
1160415,2
1160416,1
1160417,1
1160418,1
1160419,1
1160420,1
1160421,1
1160422,1
1160423,1
1160424,1
1160425,4
1160426,1
1160427,2
1160428,1
1160429,1
1160430,1
1160431,1
1160432,1
1160433,1
1160434,2
1160435,1
1160436,1
1160437,1
1160438,2
1160439,1
1160440,1
1160441,1
1160442,1
1160443,1
1160444,1
1160445,1
1160446,1
1160447,3
1160450,1
1160451,1
1160452,1
1160453,1
1160454,1
1160455,1
1160456,2
1160457,2
1160458,1
1160459,2
1160461,1
1160462,1
1160464,1
1160465,1
1160466,1
1160467,1
1160468,1
1160469,1
1160470,1
1160472,1
1160473,1
1160474,2
1160476,1
1160477,1
1160478,1
1160479,1
1160481,3
1160482,1
1160483,1
1160484,1
1160485,1
1160487,1
1160488,1
1160489,1
1160490,1
1160491,1
1160492,1
1160493,1
1160495,1
1160496,1
1160497,1
1160498,1
1160499,1
1160501,1
1160502,1
1160503,1
1170001,1
1170003,2
1170004,1
1170005,1
1170006,1
1170007,1
1170008,1
1170009,1
1170010,1
1170011,1
1170012,2
1170013,2
1170014,1
1170015,1
1170016,4
1170018,1
1170019,2
1170020,1
1170021,1
1170023,2
1170025,1
1170026,2
1170027,1
1170028,1
1170029,1
1170030,1
1170031,4
1170032,1
1170033,3
1170034,2
1170035,1
1170036,1
1170037,2
1170038,1
1170039,2
1170041,1
1170042,1
1170043,1
1170044,1
1170045,2
1170046,1
1170047,1
1170048,1
1170049,1
1170051,1
1170052,2
1170053,1
1170054,1
1170055,1
1170056,1
1170057,1
1170058,1
1170059,1
1170060,1
1170061,1
1170062,1
1170063,2
1170064,1
1170065,2
1170066,1
1170067,1
1170068,2
1170069,1
1170070,3
1170071,1
1170072,2
1170073,1
1170074,2
1170075,1
1170077,1
1170079,1
1170080,1
1170081,1
1170082,1
1170083,1
1170084,2
1170085,6
1170086,6
1170087,1
1170089,1
1170090,1
1170091,1
1170092,3
1170093,1
1170094,2
1170095,2
1170098,2
1170099,1
1170100,1
1170101,1
1170104,1
1170106,1
1170107,2
1170108,1
1170109,1
1170110,1
1170111,1
1170113,1
1170114,1
1170115,1
1170116,1
1170117,1
1170118,1
1170119,2
1170121,2
1170122,1
1170124,6
1170125,2
1170126,1
1170127,1
1170128,1
1170129,1
1170130,1
1170131,1
1170132,1
1170133,1
1170134,2
1170135,1
1170136,1
1170137,1
1170138,2
1170139,5
1170140,1
1170141,1
1170142,1
1170143,1
1170144,1
1170145,1
1170146,1
1170147,1
1170148,1
1170149,1
1170150,1
1170151,2
1170152,1
1170153,3
1170154,1
1170155,1
1170156,3
1170157,1
1170158,1
1170159,1
1170160,1
1170161,1
1170162,1
1170163,1
1170164,1
1170165,1
1170166,3
1170167,1
1170168,1
1170169,2
1170170,1
1170171,1
1170172,1
1170173,1
1170174,1
1170175,3
1170176,6
1170177,4
1170178,1
1170179,1
1170180,1
1170181,1
1170182,3
1170183,1
1170185,1
1170186,3
1170187,1
1170188,2
1170189,2
1170190,1
1170191,1
1170192,4
1170193,1
1170194,1
1170195,1
1170196,1
1170197,1
1170198,2
1170199,2
1170200,2
1170201,2
1170202,1
1170203,1
1170204,1
1170205,1
1170206,1
1170207,1
1170208,1
1170209,1
1170210,1
1170211,1
1170212,1
1170213,1
1170214,3
1170215,1
1170216,1
1170217,1
1170218,1
1170219,2
1170220,2
1170221,1
1170222,2
1170223,1
1170224,1
1170225,1
1170226,1
1170227,1
1170228,2
1170229,1
1170230,2
1170231,2
1170232,2
1170233,2
1170234,1
1170235,1
1170236,1
1170237,1
1170238,1
1170239,1
1170240,3
1170241,1
1170242,1
1170243,1
1170244,1
1170245,1
1170246,1
1170247,1
1170248,1
1170249,1
1170250,2
1170251,1
1170252,1
1170253,1
1170254,1
1170255,1
1170256,2
1170257,1
1170258,1
1170259,1
1170260,1
1170261,2
1170262,2
1170263,1
1170264,1
1170265,3
1170266,1
1170267,2
1170268,1
1170269,1
1170270,2
1170271,1
1170272,1
1170273,1
1170274,1
1170275,1
1170276,1
1170277,1
1170278,2
1170279,2
1170280,1
1170281,1
1170282,1
1170283,1
1170284,1
1170285,1
1170286,5
1170287,1
1170288,1
1170289,1
1170290,1
1170291,2
1170292,1
1170293,2
1170294,1
1170295,1
1170296,1
1170297,1
1170298,2
1170299,2
1170300,2
1170301,1
1170302,1
1170303,1
1170304,1
1170305,1
1170306,1
1170307,1
1170308,1
1170309,1
1170310,1
1170311,2
1170312,2
1170314,1
1170315,1
1170316,2
1170317,1
1170318,1
1170319,1
1170320,1
1170321,1
1170322,2
1170323,1
1170324,1
1170325,1
1170326,1
1170327,1
1170328,1
1170329,1
1170330,1
1170331,2
1170332,1
1170333,1
1170334,1
1170335,1
1170336,1
1170337,1
1170338,1
1170339,1
1170340,1
1170341,1
1170342,1
1170343,2
1170344,1
1170345,1
1170346,1
1170347,2
1170348,1
1170349,1
1170350,2
1170351,1
1170352,1
1170353,1
1170354,1
1170355,1
1170356,2
1170357,1
1170358,1
1170359,1
1170360,1
1170361,1
1170362,1
1170363,1
1170364,1
1170365,1
1170366,1
1170367,1
1170368,2
1170369,1
1170370,1
1170371,1
1170372,1
1170373,1
1170374,1
1170375,1
1170376,1
1170377,1
1170378,1
1170379,1
1170380,1
1170381,1
1170382,1
1170383,1
1170384,1
1170385,2
1170386,1
1170387,1
1170388,1
1170389,1
